car_id;display_name;year;make;model;asset;manufacturer_code;raw_model;confidence;zip_file;internal_path
247;1969 Toyota 2000GT;1969;Toyota;2000GT;TOY_2000GT_69;TOY;2000GT;id-from-game-asset-name-auto-cleaned;TOY_2000GT_69.zip;Scene/animations/Mojo/clip/carclips_247.clipd
249;1964 Ferrari 250 GTO;1964;Ferrari;250 GTO;FER_250GTO_64;FER;250GTO;id-from-game-asset-name-auto-cleaned;FER_250GTO_64.zip;Scene/animations/Mojo/clip/carclips_249.clipd
251;1954 Mercedes-Benz 300 SL;1954;Mercedes-Benz;300 SL;MER_300SL_54;MER;300SL;id-from-game-asset-name-auto-cleaned;MER_300SL_54.zip;Scene/animations/Mojo/clip/carclips_251.clipd
253;1994 Ferrari 355 Berlinetta;1994;Ferrari;355 Berlinetta;FER_355Berlinetta_94;FER;355Berlinetta;id-from-game-asset-name-auto-cleaned;FER_355Berlinetta_94.zip;Scene/animations/Mojo/clip/carclips_253.clipd
255;1991 Ferrari 512 TR;1991;Ferrari;512 TR;FER_512TR_91;FER;512TR;id-from-game-asset-name-auto-cleaned;FER_512TR_91.zip;Scene/animations/Mojo/clip/carclips_255.clipd
260;1973 Porsche Carrera RS;1973;Porsche;Carrera RS;por_carrerars_73;por;carrerars;id-from-game-asset-name-auto-cleaned;por_carrerars_73.zip;Scene/animations/Mojo/clip/carclips_260.clipd
261;1995 Porsche 911 GT2;1995;Porsche;911 GT2;por_911gt2_95;por;911gt2;id-from-game-asset-name-auto-cleaned;por_911gt2_95.zip;Scene/animations/Mojo/clip/carclips_261.clipd
262;2004 Porsche 996 GT3;2004;Porsche;996 GT3;POR_996GT3_04;POR;996GT3;id-from-game-asset-name-auto-cleaned;POR_996GT3_04.zip;Scene/animations/Mojo/clip/carclips_262.clipd
265;1982 Porsche 911 Turbo;1982;Porsche;911 Turbo;POR_911Turbo_82;POR;911Turbo;id-from-game-asset-name-auto-cleaned;POR_911Turbo_82.zip;Scene/animations/Mojo/clip/carclips_265.clipd
268;1989 Porsche 944 turbo;1989;Porsche;944 turbo;por_944turbo_89;por;944turbo;id-from-game-asset-name-auto-cleaned;por_944turbo_89.zip;Scene/animations/Mojo/clip/carclips_268.clipd
269;1987 Porsche 959;1987;Porsche;959;por_959_87;por;959;id-from-game-asset-name-auto-cleaned;por_959_87.zip;Scene/animations/Mojo/clip/carclips_269.clipd
281;1968 Plymouth Barracuda;1968;Plymouth;Barracuda;PLY_Barracuda_68;PLY;Barracuda;id-from-game-asset-name-auto-cleaned;PLY_Barracuda_68.zip;Scene/animations/Mojo/clip/carclips_281.clipd
289;1969 Chevrolet Camaro SS;1969;Chevrolet;Camaro SS;CHE_CamaroSS_69;CHE;CamaroSS;id-from-game-asset-name-auto-cleaned;CHE_CamaroSS_69.zip;Scene/animations/Mojo/clip/carclips_289.clipd
292;2003 Porsche Carrera GT;2003;Porsche;Carrera GT;POR_CarreraGT_03;POR;CarreraGT;id-from-game-asset-name-auto-cleaned;POR_CarreraGT_03.zip;Scene/animations/Mojo/clip/carclips_292.clipd
295;2003 Toyota Celica SS-I;2003;Toyota;Celica SS-I;TOY_CelicaSSI_03;TOY;CelicaSSI;id-from-game-asset-name-auto-cleaned;TOY_CelicaSSI_03.zip;Scene/animations/Mojo/clip/carclips_295.clipd
296;1998 TVR Cerbera;1998;TVR;Cerbera;TVR_Cerbera_98;TVR;Cerbera;id-from-game-asset-name-auto-cleaned;TVR_Cerbera_98.zip;Scene/animations/Mojo/clip/carclips_296.clipd
299;1970 Chevrolet Chevelle;1970;Chevrolet;Chevelle;CHE_Chevelle_70;CHE;Chevelle;id-from-game-asset-name-auto-cleaned;CHE_Chevelle_70.zip;Scene/animations/Mojo/clip/carclips_299.clipd
302;2004 Honda Civic Type R;2004;Honda;Civic Type R;HON_CivicR_04;HON;CivicR;id-from-game-asset-name-auto-cleaned;HON_CivicR_04.zip;Scene/animations/Mojo/clip/carclips_302.clipd
306;1965 Shelby Cobra 427;1965;Shelby;Cobra 427;SHE_Cobra427_65;SHE;Cobra427;id-from-game-asset-name-auto-cleaned;SHE_Cobra427_65.zip;Scene/animations/Mojo/clip/carclips_306.clipd
309;1995 Volkswagen Corrado;1995;Volkswagen;Corrado;VW_Corrado_95;VW;Corrado;id-from-game-asset-name-auto-cleaned;VW_Corrado_95.zip;Scene/animations/Mojo/clip/carclips_309.clipd
312;1967 Chevrolet Corvette Stingray;1967;Chevrolet;Corvette Stingray;CHE_CorvetteStingray_67;CHE;CorvetteStingray;id-from-game-asset-name-auto-cleaned;CHE_CorvetteStingray_67.zip;Scene/animations/Mojo/clip/carclips_312.clipd
